,preds,Attrition_Flag,Customer_Age,Education_Level,Income_Category,Card_Category,Credit_Limit,Avg_Utilization_Ratio,Gender
93,1,Existing Customer,53,Graduate,$80K - $120K,Blue,2664.0,0.765,M
95,1,Existing Customer,64,Graduate,Less than $40K,Blue,1709.0,0.524,M
96,1,Existing Customer,45,Graduate,$40K - $60K,Blue,3454.0,0.34700000000000003,M
97,1,Existing Customer,53,Doctorate,$40K - $60K,Blue,3789.0,0.45,M
98,1,Existing Customer,56,College,$120K +,Blue,9689.0,0.23199999999999998,M
102,1,Existing Customer,53,Graduate,$120K +,Blue,2940.0,0.43,M
103,1,Existing Customer,44,Graduate,Less than $40K,Blue,3031.0,0.62,F
105,1,Existing Customer,43,Post-Graduate,Less than $40K,Blue,8358.0,0.111,F
106,1,Existing Customer,53,Post-Graduate,$120K +,Blue,34516.0,0.027000000000000003,M
107,1,Existing Customer,44,Uneducated,$60K - $80K,Blue,14450.0,0.16899999999999998,M
110,1,Existing Customer,57,Graduate,$60K - $80K,Blue,8466.0,0.223,M
112,1,Existing Customer,42,High School,$60K - $80K,Blue,3263.0,0.513,M
113,1,Existing Customer,54,Uneducated,Less than $40K,Blue,1494.0,0.473,F
114,1,Existing Customer,48,Graduate,$80K - $120K,Blue,13551.0,0.095,M
115,1,Existing Customer,49,Graduate,$80K - $120K,Blue,18886.0,0.047,M
117,1,Existing Customer,50,High School,$80K - $120K,Blue,9964.0,0.156,M
118,1,Existing Customer,49,Doctorate,$60K - $80K,Blue,24159.0,0.05,M
119,1,Existing Customer,53,High School,Less than $40K,Blue,5362.0,0.355,F
120,1,Existing Customer,50,Graduate,$120K +,Blue,34516.0,0.03,M
121,1,Existing Customer,55,Doctorate,Less than $40K,Blue,3174.0,0.615,F
122,1,Existing Customer,53,High School,$80K - $120K,Blue,12262.0,0.15,M
123,1,Existing Customer,47,High School,$40K - $60K,Blue,3788.0,0.40700000000000003,F
124,1,Existing Customer,55,College,$120K +,Silver,34516.0,0.044000000000000004,M
125,1,Existing Customer,47,Graduate,$60K - $80K,Blue,2926.0,0.0,M
126,1,Existing Customer,58,Graduate,$120K +,Blue,32090.0,0.0,M
127,0,Attrited Customer,53,Graduate,$80K - $120K,Blue,11669.0,0.191,M
128,1,Existing Customer,52,High School,$40K - $60K,Blue,13532.0,0.096,M
130,1,Existing Customer,42,Graduate,Less than $40K,Blue,2393.0,0.83,F
132,1,Existing Customer,57,Graduate,$80K - $120K,Blue,19270.0,0.086,M
133,1,Existing Customer,52,Graduate,$80K - $120K,Blue,3710.0,0.6779999999999999,M
134,1,Existing Customer,47,Doctorate,Less than $40K,Blue,3235.0,0.24600000000000002,M
135,1,Existing Customer,44,Graduate,$40K - $60K,Blue,11749.0,0.067,F
136,1,Existing Customer,53,High School,$60K - $80K,Blue,7753.0,0.271,M
137,1,Existing Customer,45,College,$60K - $80K,Blue,10408.0,0.114,M
139,1,Existing Customer,39,Post-Graduate,Less than $40K,Blue,6205.0,0.406,F
140,0,Attrited Customer,48,High School,Less than $40K,Blue,8025.0,0.0,F
142,1,Existing Customer,54,Graduate,$80K - $120K,Blue,14926.0,0.16899999999999998,M
143,1,Existing Customer,59,Graduate,Less than $40K,Blue,6335.0,0.17800000000000002,F
144,0,Attrited Customer,59,College,$60K - $80K,Blue,14979.0,0.0,M
145,0,Attrited Customer,48,Uneducated,Less than $40K,Blue,2732.0,0.0,F
146,1,Existing Customer,41,Graduate,Less than $40K,Blue,2250.0,0.941,F
147,1,Existing Customer,55,Graduate,$120K +,Blue,10916.0,0.141,M
149,1,Existing Customer,41,High School,$80K - $120K,Blue,9366.0,0.11800000000000001,M
150,1,Existing Customer,40,High School,$80K - $120K,Blue,21617.0,0.0,M
152,1,Existing Customer,50,Graduate,$40K - $60K,Silver,18386.0,0.0,F
153,1,Existing Customer,47,Uneducated,$60K - $80K,Blue,2405.0,0.64,M
154,1,Existing Customer,53,College,Less than $40K,Blue,2154.0,0.43200000000000005,F
156,1,Existing Customer,48,High School,$40K - $60K,Blue,8135.0,0.0,F
157,1,Existing Customer,49,Doctorate,$120K +,Blue,9364.0,0.066,M
159,1,Existing Customer,43,Graduate,Less than $40K,Blue,3195.0,0.612,F
160,1,Existing Customer,56,High School,$80K - $120K,Blue,2852.0,0.359,M
162,1,Existing Customer,46,Uneducated,$60K - $80K,Blue,20459.0,0.10099999999999999,M
164,1,Existing Customer,50,Uneducated,$40K - $60K,Blue,3065.0,0.512,F
165,1,Existing Customer,51,Uneducated,Less than $40K,Blue,2185.0,0.8059999999999999,F
166,1,Existing Customer,47,Uneducated,Less than $40K,Blue,1611.0,0.46299999999999997,F
167,1,Existing Customer,58,Uneducated,Less than $40K,Blue,2822.0,0.77,F
168,0,Attrited Customer,46,Graduate,$80K - $120K,Blue,32975.0,0.076,M
169,1,Existing Customer,53,High School,$60K - $80K,Blue,1438.3,0.0,M
171,1,Existing Customer,52,High School,Less than $40K,Blue,6703.0,0.133,F
173,1,Existing Customer,50,High School,$80K - $120K,Silver,34516.0,0.037000000000000005,M
174,1,Existing Customer,41,High School,$40K - $60K,Blue,9797.0,0.146,F
175,1,Existing Customer,45,Graduate,$40K - $60K,Blue,10400.0,0.171,F
176,1,Existing Customer,53,Uneducated,$80K - $120K,Blue,26792.0,0.069,M
177,1,Existing Customer,67,Graduate,Less than $40K,Blue,3006.0,0.8370000000000001,F
178,1,Existing Customer,57,Uneducated,$40K - $60K,Silver,19482.0,0.055,F
179,1,Existing Customer,59,Uneducated,$40K - $60K,Blue,3356.0,0.294,F
180,1,Existing Customer,45,Uneducated,$40K - $60K,Blue,5771.0,0.39,M
181,1,Existing Customer,51,Graduate,$80K - $120K,Blue,11106.0,0.19,M
182,1,Existing Customer,59,Uneducated,Less than $40K,Blue,2890.0,0.6920000000000001,F
183,1,Existing Customer,53,Graduate,$60K - $80K,Blue,3380.0,0.503,M
184,1,Existing Customer,47,Graduate,$60K - $80K,Blue,21331.0,0.059000000000000004,M
186,1,Existing Customer,49,Post-Graduate,$80K - $120K,Blue,6278.0,0.07400000000000001,M
187,1,Existing Customer,60,College,Less than $40K,Blue,1438.3,0.513,F
188,1,Existing Customer,50,High School,Less than $40K,Blue,9355.0,0.174,F
190,1,Existing Customer,57,Graduate,$80K - $120K,Blue,14612.0,0.135,M
192,1,Existing Customer,57,Graduate,Less than $40K,Blue,6347.0,0.251,F
193,1,Existing Customer,54,Doctorate,$120K +,Blue,21592.0,0.078,M
194,1,Existing Customer,51,Post-Graduate,Less than $40K,Blue,3449.0,0.46299999999999997,F
195,1,Existing Customer,47,High School,Less than $40K,Blue,6028.0,0.133,F
197,1,Existing Customer,53,Uneducated,$80K - $120K,Blue,16393.0,0.087,M
198,1,Attrited Customer,68,High School,Less than $40K,Blue,1438.3,0.626,M
199,1,Existing Customer,59,College,$60K - $80K,Blue,7871.0,0.214,M
201,1,Existing Customer,44,Graduate,$60K - $80K,Blue,11376.0,0.17600000000000002,M
202,1,Existing Customer,48,College,$80K - $120K,Blue,12302.0,0.133,M
203,1,Existing Customer,47,Graduate,$60K - $80K,Silver,34516.0,0.049,M
204,1,Existing Customer,47,Graduate,$60K - $80K,Silver,34516.0,0.043,M
205,1,Existing Customer,43,High School,Less than $40K,Silver,10514.0,0.15,F
206,0,Attrited Customer,55,Graduate,Less than $40K,Blue,1438.3,0.0,F
207,0,Attrited Customer,59,Post-Graduate,$60K - $80K,Blue,1438.3,0.0,M
208,1,Existing Customer,63,Graduate,$40K - $60K,Blue,2619.0,0.679,M
209,1,Existing Customer,58,College,$120K +,Blue,24407.0,0.098,M
210,1,Existing Customer,53,High School,Less than $40K,Blue,2377.0,0.6940000000000001,F
212,1,Existing Customer,52,Graduate,$120K +,Blue,11086.0,0.19899999999999998,M
213,1,Existing Customer,48,High School,$60K - $80K,Blue,11432.0,0.22,M
214,1,Existing Customer,43,High School,$40K - $60K,Blue,13258.0,0.13,M
215,1,Existing Customer,48,College,Less than $40K,Blue,2571.0,0.76,M
216,1,Existing Customer,43,Graduate,Less than $40K,Blue,5781.0,0.20199999999999999,F
218,1,Existing Customer,41,High School,$80K - $120K,Blue,34516.0,0.035,M
219,1,Existing Customer,44,Uneducated,Less than $40K,Silver,11127.0,0.165,F
221,1,Existing Customer,60,Uneducated,Less than $40K,Blue,1913.0,0.665,F
222,1,Existing Customer,44,Graduate,$80K - $120K,Blue,3839.0,0.598,M
223,1,Existing Customer,48,Graduate,$40K - $60K,Blue,2115.0,0.539,F
224,1,Existing Customer,44,Graduate,Less than $40K,Blue,1438.3,0.47200000000000003,F
225,1,Existing Customer,41,High School,$80K - $120K,Blue,27756.0,0.064,M
226,1,Existing Customer,45,College,$60K - $80K,Blue,1438.3,0.0,M
227,1,Existing Customer,47,Uneducated,Less than $40K,Silver,13878.0,0.16,F
228,1,Existing Customer,51,Graduate,Less than $40K,Blue,3106.0,0.42,F
229,1,Existing Customer,51,Graduate,$120K +,Blue,34516.0,0.048,M
230,1,Attrited Customer,60,Uneducated,$40K - $60K,Blue,1438.3,0.713,F
232,1,Existing Customer,41,Graduate,$120K +,Blue,5207.0,0.336,M
233,1,Existing Customer,44,Post-Graduate,$80K - $120K,Blue,17965.0,0.092,M
234,1,Existing Customer,43,College,$60K - $80K,Blue,2733.0,0.6659999999999999,M
235,1,Existing Customer,55,College,$60K - $80K,Blue,8863.0,0.147,M
236,0,Attrited Customer,52,Uneducated,$80K - $120K,Blue,1857.0,0.987,M
238,1,Existing Customer,41,Uneducated,$40K - $60K,Blue,11107.0,0.11,M
241,1,Existing Customer,39,High School,$80K - $120K,Blue,5269.0,0.28,M
242,0,Attrited Customer,49,College,$40K - $60K,Blue,1438.3,0.0,M
243,0,Attrited Customer,45,College,Less than $40K,Blue,3387.0,0.0,F
244,1,Existing Customer,54,Graduate,$80K - $120K,Blue,1982.0,0.65,M
245,1,Existing Customer,49,Uneducated,$80K - $120K,Blue,4645.0,0.355,M
247,0,Attrited Customer,46,High School,$120K +,Blue,2442.0,0.0,M
248,1,Existing Customer,47,Graduate,$60K - $80K,Blue,21304.0,0.07200000000000001,M
249,1,Existing Customer,44,Doctorate,$60K - $80K,Blue,7577.0,0.327,M
250,1,Existing Customer,50,Post-Graduate,$120K +,Blue,3234.0,0.45899999999999996,M
251,1,Existing Customer,73,High School,$40K - $60K,Blue,4469.0,0.252,M
253,0,Attrited Customer,59,High School,$40K - $60K,Blue,3616.0,0.29100000000000004,M
254,1,Existing Customer,70,High School,Less than $40K,Blue,3252.0,0.46,M
255,1,Existing Customer,55,High School,Less than $40K,Blue,2358.0,0.489,F
257,1,Existing Customer,45,Uneducated,$120K +,Blue,3133.0,0.48200000000000004,M
258,1,Existing Customer,45,Uneducated,$40K - $60K,Blue,3540.0,0.24,F
259,1,Existing Customer,40,Graduate,$40K - $60K,Blue,6990.0,0.19699999999999998,M
261,1,Attrited Customer,59,Post-Graduate,$40K - $60K,Blue,1438.3,0.0,F
264,1,Existing Customer,41,Uneducated,$40K - $60K,Blue,5214.0,0.152,M
265,1,Existing Customer,51,Graduate,Less than $40K,Blue,5207.0,0.317,F
268,0,Attrited Customer,64,High School,$40K - $60K,Blue,3353.0,0.0,F
269,1,Existing Customer,54,Graduate,$60K - $80K,Blue,2290.0,0.626,M
271,1,Existing Customer,40,Uneducated,$60K - $80K,Blue,23603.0,0.0,M
272,1,Existing Customer,57,Uneducated,$40K - $60K,Blue,2601.0,0.0,M
273,1,Existing Customer,45,Graduate,$80K - $120K,Blue,6363.0,0.162,M
274,1,Existing Customer,41,High School,$80K - $120K,Blue,8029.0,0.196,M
275,1,Existing Customer,42,Uneducated,Less than $40K,Blue,2410.0,0.7340000000000001,F
276,0,Attrited Customer,45,Graduate,$60K - $80K,Blue,3401.0,0.0,M
277,1,Existing Customer,42,Uneducated,Less than $40K,Blue,2260.0,0.446,F
278,1,Existing Customer,47,Uneducated,$80K - $120K,Blue,17682.0,0.14,M
279,1,Existing Customer,48,High School,$40K - $60K,Blue,4206.0,0.262,F
280,1,Existing Customer,43,Graduate,$80K - $120K,Silver,34516.0,0.042,M
282,1,Existing Customer,54,Uneducated,$40K - $60K,Blue,5556.0,0.308,F
284,1,Existing Customer,61,Graduate,$40K - $60K,Blue,2939.0,0.68,M
285,1,Existing Customer,61,Uneducated,$80K - $120K,Blue,5362.0,0.23800000000000002,M
286,0,Attrited Customer,48,High School,$120K +,Blue,27126.0,0.0,M
287,1,Existing Customer,45,Graduate,Less than $40K,Blue,3342.0,0.753,F
290,1,Existing Customer,44,Graduate,$60K - $80K,Blue,14546.0,0.11699999999999999,M
292,1,Existing Customer,55,Doctorate,$60K - $80K,Blue,16427.0,0.102,M
294,1,Existing Customer,45,College,$60K - $80K,Blue,23218.0,0.078,M
295,1,Existing Customer,60,High School,$40K - $60K,Blue,3281.0,0.255,M
296,1,Existing Customer,55,High School,$40K - $60K,Blue,3096.0,0.716,M
297,1,Existing Customer,62,High School,$40K - $60K,Blue,2052.0,0.609,F
299,1,Existing Customer,46,High School,$40K - $60K,Blue,9432.0,0.15,M
300,1,Existing Customer,50,High School,$120K +,Silver,14938.0,0.154,M
301,1,Existing Customer,45,Uneducated,$60K - $80K,Blue,2221.0,0.605,M
302,1,Existing Customer,47,Post-Graduate,$60K - $80K,Blue,5731.0,0.275,M
303,1,Existing Customer,48,College,$60K - $80K,Gold,34516.0,0.06,M
304,1,Existing Customer,35,Uneducated,$60K - $80K,Blue,6985.0,0.162,M
305,1,Existing Customer,51,Graduate,$120K +,Blue,24221.0,0.07,M
307,1,Existing Customer,47,Graduate,$80K - $120K,Blue,21637.0,0.094,M
308,1,Existing Customer,52,Graduate,$120K +,Blue,14543.0,0.0,M
309,1,Existing Customer,43,Uneducated,Less than $40K,Blue,9684.0,0.256,F
310,1,Existing Customer,63,High School,$40K - $60K,Blue,5007.0,0.18600000000000003,M
311,1,Existing Customer,61,Graduate,$60K - $80K,Blue,1616.0,0.648,M
312,0,Existing Customer,53,Uneducated,$60K - $80K,Blue,19116.0,0.0,M
313,1,Existing Customer,53,Graduate,Less than $40K,Blue,2759.0,0.8059999999999999,F
314,0,Attrited Customer,57,Graduate,$120K +,Blue,8249.0,0.16699999999999998,M
316,1,Existing Customer,53,High School,$60K - $80K,Blue,5264.0,0.41200000000000003,M
318,1,Existing Customer,49,High School,Less than $40K,Blue,2826.0,0.732,F
319,1,Existing Customer,45,High School,$80K - $120K,Blue,12518.0,0.12300000000000001,M
320,1,Existing Customer,67,Graduate,$40K - $60K,Blue,5876.0,0.221,M
321,1,Existing Customer,48,Graduate,$80K - $120K,Silver,34516.0,0.0,M
322,1,Existing Customer,51,Uneducated,Less than $40K,Blue,9648.0,0.2,F
323,1,Existing Customer,52,High School,$80K - $120K,Silver,34516.0,0.063,M
325,1,Existing Customer,34,High School,$60K - $80K,Blue,3265.0,0.7709999999999999,M
326,1,Existing Customer,56,Uneducated,$120K +,Blue,6041.0,0.22399999999999998,M
327,1,Existing Customer,44,Post-Graduate,Less than $40K,Blue,2293.0,0.795,F
330,1,Existing Customer,43,Graduate,$40K - $60K,Blue,3378.0,0.316,F
331,1,Existing Customer,50,Graduate,Less than $40K,Blue,5012.0,0.447,F
332,1,Existing Customer,38,Uneducated,Less than $40K,Blue,2569.0,0.625,F
333,1,Existing Customer,53,Graduate,Less than $40K,Blue,3471.0,0.514,F
334,1,Existing Customer,43,Graduate,$120K +,Silver,34516.0,0.049,M
335,1,Existing Customer,53,High School,$120K +,Blue,3312.0,0.557,M
336,1,Existing Customer,56,Graduate,Less than $40K,Blue,2578.0,0.955,F
338,1,Existing Customer,57,High School,Less than $40K,Blue,2742.0,0.846,F
339,1,Existing Customer,62,High School,Less than $40K,Blue,2077.0,0.7559999999999999,M
340,1,Existing Customer,46,Graduate,Less than $40K,Blue,6265.0,0.31,F
341,1,Existing Customer,49,Uneducated,$60K - $80K,Blue,7819.0,0.2,M
342,1,Existing Customer,52,Graduate,$80K - $120K,Blue,2731.0,0.62,M
343,0,Attrited Customer,58,Uneducated,$40K - $60K,Blue,1438.3,0.373,M
344,1,Existing Customer,54,High School,$80K - $120K,Blue,16286.0,0.105,M
345,0,Existing Customer,49,Graduate,$120K +,Blue,34516.0,0.0,M
346,1,Existing Customer,58,High School,Less than $40K,Blue,2609.0,0.935,F
347,1,Existing Customer,52,High School,$60K - $80K,Blue,7567.0,0.155,M
348,1,Existing Customer,41,High School,$60K - $80K,Blue,22770.0,0.111,M
349,1,Existing Customer,62,Uneducated,Less than $40K,Blue,3791.0,0.435,F
350,1,Existing Customer,54,Graduate,Less than $40K,Blue,2702.0,0.932,M
351,1,Existing Customer,40,High School,Less than $40K,Blue,2555.0,0.8290000000000001,F
352,1,Existing Customer,43,Graduate,$80K - $120K,Blue,2355.0,0.46299999999999997,M
353,1,Existing Customer,53,Graduate,$40K - $60K,Blue,5332.0,0.0,F
354,1,Existing Customer,55,Uneducated,$40K - $60K,Blue,1443.0,0.953,M
355,1,Existing Customer,46,Graduate,$60K - $80K,Blue,10741.0,0.07,M
356,1,Existing Customer,41,Uneducated,$60K - $80K,Blue,7984.0,0.188,M
357,1,Existing Customer,49,Uneducated,$60K - $80K,Blue,18584.0,0.135,M
359,1,Existing Customer,46,Uneducated,$80K - $120K,Blue,34516.0,0.063,M
360,1,Existing Customer,50,Uneducated,Less than $40K,Blue,1438.3,0.0,F
361,1,Existing Customer,40,Graduate,$80K - $120K,Blue,2478.0,0.82,M
362,1,Existing Customer,51,High School,$120K +,Blue,34516.0,0.066,M
363,1,Existing Customer,50,Graduate,$40K - $60K,Blue,2339.0,0.616,F
364,1,Existing Customer,47,Graduate,Less than $40K,Blue,2726.0,0.0,F
366,1,Existing Customer,36,Graduate,$40K - $60K,Blue,1628.0,0.595,F
367,1,Existing Customer,47,Graduate,Less than $40K,Blue,3156.0,0.521,F
368,1,Existing Customer,46,Graduate,Less than $40K,Blue,4745.0,0.268,F
369,1,Existing Customer,46,High School,$120K +,Blue,19727.0,0.09,M
370,1,Existing Customer,52,Uneducated,$60K - $80K,Blue,22720.0,0.035,M
372,1,Existing Customer,40,Graduate,Less than $40K,Blue,3751.0,0.405,F
373,1,Existing Customer,54,High School,Less than $40K,Blue,1594.0,0.885,F
374,1,Existing Customer,55,High School,Less than $40K,Blue,2569.0,0.546,F
376,1,Existing Customer,45,High School,$40K - $60K,Blue,3104.0,0.569,M
377,1,Existing Customer,49,Graduate,$40K - $60K,Blue,2406.0,0.648,M
378,1,Existing Customer,63,Uneducated,$80K - $120K,Blue,24571.0,0.08,M
379,1,Existing Customer,40,High School,Less than $40K,Gold,15534.0,0.047,F
380,1,Existing Customer,41,Graduate,Less than $40K,Silver,12301.0,0.183,F
381,1,Existing Customer,37,Graduate,$80K - $120K,Blue,2846.0,0.639,M
383,1,Existing Customer,55,High School,$60K - $80K,Blue,7231.0,0.32899999999999996,M
384,1,Existing Customer,53,High School,Less than $40K,Blue,2324.0,0.6779999999999999,F
385,1,Existing Customer,57,Graduate,$80K - $120K,Blue,12208.0,0.162,M
387,1,Existing Customer,58,Graduate,$60K - $80K,Blue,10021.0,0.161,M
389,1,Existing Customer,54,Graduate,Less than $40K,Blue,2027.0,0.73,F
390,1,Existing Customer,53,Graduate,$60K - $80K,Blue,6363.0,0.183,M
391,1,Existing Customer,39,College,Less than $40K,Blue,3920.0,0.512,F
392,1,Existing Customer,56,High School,$60K - $80K,Blue,9226.0,0.134,M
394,1,Existing Customer,59,Post-Graduate,$40K - $60K,Blue,1944.0,0.6920000000000001,F
395,1,Existing Customer,42,Uneducated,$40K - $60K,Blue,9599.0,0.162,M
396,1,Existing Customer,42,Graduate,$60K - $80K,Silver,28202.0,0.03,M
398,1,Existing Customer,55,High School,$120K +,Blue,3805.0,0.5870000000000001,M
399,1,Existing Customer,52,Uneducated,$80K - $120K,Blue,2733.0,0.478,M
401,0,Attrited Customer,57,Uneducated,$120K +,Blue,3106.0,0.361,M
402,1,Existing Customer,48,College,$80K - $120K,Blue,7477.0,0.0,M
404,1,Existing Customer,48,High School,$120K +,Blue,29963.0,0.07,M
405,1,Existing Customer,47,Graduate,$40K - $60K,Blue,6509.0,0.312,M
406,0,Attrited Customer,42,College,$60K - $80K,Blue,13450.0,0.0,M
408,1,Existing Customer,51,College,$120K +,Silver,34516.0,0.036000000000000004,M
409,1,Existing Customer,55,Graduate,Less than $40K,Blue,6347.0,0.0,F
410,1,Existing Customer,67,Uneducated,$40K - $60K,Blue,3106.0,0.539,M
411,1,Existing Customer,39,Graduate,$60K - $80K,Blue,2536.0,0.36,M
412,1,Existing Customer,54,Post-Graduate,$60K - $80K,Blue,13048.0,0.15,M
414,1,Existing Customer,47,High School,$40K - $60K,Silver,16138.0,0.077,M
415,1,Existing Customer,49,Post-Graduate,$60K - $80K,Blue,8077.0,0.243,M
416,1,Attrited Customer,42,Graduate,Less than $40K,Blue,1929.0,0.867,F
418,1,Existing Customer,44,Uneducated,$60K - $80K,Blue,8645.0,0.168,M
420,0,Attrited Customer,49,Graduate,Less than $40K,Blue,2185.0,0.0,F
421,1,Existing Customer,45,Graduate,$80K - $120K,Blue,24487.0,0.10300000000000001,M
422,1,Existing Customer,63,High School,$60K - $80K,Blue,2567.0,0.0,M
423,1,Existing Customer,44,Graduate,$80K - $120K,Blue,4131.0,0.19,M
424,1,Existing Customer,44,College,Less than $40K,Silver,10790.0,0.179,F
425,1,Existing Customer,40,High School,$40K - $60K,Blue,6884.0,0.145,M
426,1,Attrited Customer,39,Uneducated,$60K - $80K,Blue,13961.0,0.09300000000000001,M
427,1,Existing Customer,42,High School,$80K - $120K,Blue,29801.0,0.064,M
428,1,Existing Customer,54,High School,$120K +,Blue,13219.0,0.0,M
430,1,Existing Customer,46,Graduate,Less than $40K,Blue,9478.0,0.087,F
433,1,Existing Customer,50,College,Less than $40K,Blue,1491.0,0.0,F
434,1,Existing Customer,55,High School,$60K - $80K,Blue,9734.0,0.0,M
435,1,Existing Customer,46,Graduate,$40K - $60K,Blue,2305.0,0.706,F
436,1,Existing Customer,47,Uneducated,$40K - $60K,Blue,14241.0,0.146,F
438,1,Existing Customer,40,Doctorate,$60K - $80K,Blue,23138.0,0.075,M
441,1,Existing Customer,58,Graduate,Less than $40K,Blue,5798.0,0.309,F
442,1,Existing Customer,48,Graduate,$40K - $60K,Blue,6880.0,0.20199999999999999,M
